"Bore ID","Date","Variable","Result (m)","Quality Code","Agency"
"GW273314.1.1",2015-03-16 00:00:00.0,"SWL",6.73,"quality-A","WaterNSW"
"GW273314.1.1",2015-03-17 00:00:00.0,"SWL",6.71,"quality-A","WaterNSW"
"GW273314.1.1",2015-03-18 00:00:00.0,"SWL",6.66,"quality-A","WaterNSW"
"GW273314.1.1",2015-03-19 00:00:00.0,"SWL",6.65,"quality-A","WaterNSW"
"GW273314.1.1",2015-03-20 00:00:00.0,"SWL",6.64,"quality-A","WaterNSW"
"GW273314.1.1",2015-03-21 00:00:00.0,"SWL",6.64,"quality-A","WaterNSW"
"GW273314.1.1",2015-03-22 00:00:00.0,"SWL",6.64,"quality-A","WaterNSW"
"GW273314.1.1",2015-03-23 00:00:00.0,"SWL",6.62,"quality-A","WaterNSW"
"GW273314.1.1",2015-03-24 00:00:00.0,"SWL",6.58,"quality-A","WaterNSW"
"GW273314.1.1",2015-03-25 00:00:00.0,"SWL",6.55,"quality-A","WaterNSW"
"GW273314.1.1",2015-03-26 00:00:00.0,"SWL",6.56,"quality-A","WaterNSW"
"GW273314.1.1",2015-03-27 00:00:00.0,"SWL",6.56,"quality-A","WaterNSW"
"GW273314.1.1",2015-03-28 00:00:00.0,"SWL",6.54,"quality-A","WaterNSW"
"GW273314.1.1",2015-03-29 00:00:00.0,"SWL",6.53,"quality-A","WaterNSW"
"GW273314.1.1",2015-03-30 00:00:00.0,"SWL",6.53,"quality-A","WaterNSW"
"GW273314.1.1",2015-03-31 00:00:00.0,"SWL",6.50,"quality-A","WaterNSW"
"GW273314.1.1",2015-04-01 00:00:00.0,"SWL",6.48,"quality-A","WaterNSW"
"GW273314.1.1",2015-04-02 00:00:00.0,"SWL",6.45,"quality-A","WaterNSW"
"GW273314.1.1",2015-04-03 00:00:00.0,"SWL",6.44,"quality-A","WaterNSW"
"GW273314.1.1",2015-04-04 00:00:00.0,"SWL",6.41,"quality-A","WaterNSW"
"GW273314.1.1",2015-04-05 00:00:00.0,"SWL",6.33,"quality-A","WaterNSW"
"GW273314.1.1",2015-04-06 00:00:00.0,"SWL",6.30,"quality-A","WaterNSW"
"GW273314.1.1",2015-04-07 00:00:00.0,"SWL",6.31,"quality-A","WaterNSW"
"GW273314.1.1",2015-04-08 00:00:00.0,"SWL",6.31,"quality-A","WaterNSW"
"GW273314.1.1",2015-04-09 00:00:00.0,"SWL",6.30,"quality-A","WaterNSW"
"GW273314.1.1",2015-04-10 00:00:00.0,"SWL",6.28,"quality-A","WaterNSW"
"GW273314.1.1",2015-04-11 00:00:00.0,"SWL",6.25,"quality-A","WaterNSW"
"GW273314.1.1",2015-04-12 00:00:00.0,"SWL",6.23,"quality-A","WaterNSW"
"GW273314.1.1",2015-04-13 00:00:00.0,"SWL",6.22,"quality-A","WaterNSW"
"GW273314.1.1",2015-04-14 00:00:00.0,"SWL",6.22,"quality-A","WaterNSW"
"GW273314.1.1",2015-04-15 00:00:00.0,"SWL",6.23,"quality-A","WaterNSW"
"GW273314.1.1",2015-04-16 00:00:00.0,"SWL",6.22,"quality-A","WaterNSW"
"GW273314.1.1",2015-04-17 00:00:00.0,"SWL",6.20,"quality-A","WaterNSW"
"GW273314.1.1",2015-04-18 00:00:00.0,"SWL",6.18,"quality-A","WaterNSW"
"GW273314.1.1",2015-04-19 00:00:00.0,"SWL",6.18,"quality-A","WaterNSW"
"GW273314.1.1",2015-04-20 00:00:00.0,"SWL",6.18,"quality-A","WaterNSW"
"GW273314.1.1",2015-04-21 00:00:00.0,"SWL",6.15,"quality-A","WaterNSW"
"GW273314.1.1",2015-04-22 00:00:00.0,"SWL",6.13,"quality-A","WaterNSW"
"GW273314.1.1",2015-04-23 00:00:00.0,"SWL",6.10,"quality-A","WaterNSW"
"GW273314.1.1",2015-04-24 00:00:00.0,"SWL",6.07,"quality-A","WaterNSW"
"GW273314.1.1",2015-04-25 00:00:00.0,"SWL",6.06,"quality-A","WaterNSW"
"GW273314.1.1",2015-04-26 00:00:00.0,"SWL",6.09,"quality-A","WaterNSW"
"GW273314.1.1",2015-04-27 00:00:00.0,"SWL",6.10,"quality-A","WaterNSW"
"GW273314.1.1",2015-04-28 00:00:00.0,"SWL",6.10,"quality-A","WaterNSW"
"GW273314.1.1",2015-04-29 00:00:00.0,"SWL",6.11,"quality-A","WaterNSW"
"GW273314.1.1",2015-04-30 00:00:00.0,"SWL",6.09,"quality-A","WaterNSW"
"GW273314.1.1",2015-05-01 00:00:00.0,"SWL",6.07,"quality-A","WaterNSW"
"GW273314.1.1",2015-05-02 00:00:00.0,"SWL",6.01,"quality-A","WaterNSW"
"GW273314.1.1",2015-05-03 00:00:00.0,"SWL",6.00,"quality-A","WaterNSW"
"GW273314.1.1",2015-05-04 00:00:00.0,"SWL",6.00,"quality-A","WaterNSW"
"GW273314.1.1",2015-05-05 00:00:00.0,"SWL",5.99,"quality-A","WaterNSW"
"GW273314.1.1",2015-05-06 00:00:00.0,"SWL",6.02,"quality-A","WaterNSW"
"GW273314.1.1",2015-05-07 00:00:00.0,"SWL",6.02,"quality-A","WaterNSW"
"GW273314.1.1",2015-05-08 00:00:00.0,"SWL",6.02,"quality-A","WaterNSW"
"GW273314.1.1",2015-05-09 00:00:00.0,"SWL",6.00,"quality-A","WaterNSW"
"GW273314.1.1",2015-05-10 00:00:00.0,"SWL",5.99,"quality-A","WaterNSW"
"GW273314.1.1",2015-05-11 00:00:00.0,"SWL",5.98,"quality-A","WaterNSW"
"GW273314.1.1",2015-05-12 00:00:00.0,"SWL",5.98,"quality-A","WaterNSW"
"GW273314.1.1",2015-05-13 00:00:00.0,"SWL",6.01,"quality-A","WaterNSW"
"GW273314.1.1",2015-05-14 00:00:00.0,"SWL",6.03,"quality-A","WaterNSW"
"GW273314.1.1",2015-05-15 00:00:00.0,"SWL",6.04,"quality-A","WaterNSW"
"GW273314.1.1",2015-05-16 00:00:00.0,"SWL",6.04,"quality-A","WaterNSW"
"GW273314.1.1",2015-05-17 00:00:00.0,"SWL",6.03,"quality-A","WaterNSW"
"GW273314.1.1",2015-05-18 00:00:00.0,"SWL",6.02,"quality-A","WaterNSW"
"GW273314.1.1",2015-05-19 00:00:00.0,"SWL",5.99,"quality-A","WaterNSW"
"GW273314.1.1",2015-05-20 00:00:00.0,"SWL",5.97,"quality-A","WaterNSW"
"GW273314.1.1",2015-05-21 00:00:00.0,"SWL",5.97,"quality-A","WaterNSW"
"GW273314.1.1",2015-05-22 00:00:00.0,"SWL",5.98,"quality-A","WaterNSW"
"GW273314.1.1",2015-05-23 00:00:00.0,"SWL",5.99,"quality-A","WaterNSW"
"GW273314.1.1",2015-05-24 00:00:00.0,"SWL",6.00,"quality-A","WaterNSW"
"GW273314.1.1",2015-05-25 00:00:00.0,"SWL",5.99,"quality-A","WaterNSW"
"GW273314.1.1",2015-05-26 00:00:00.0,"SWL",5.97,"quality-A","WaterNSW"
"GW273314.1.1",2015-05-27 00:00:00.0,"SWL",5.94,"quality-A","WaterNSW"
"GW273314.1.1",2015-05-28 00:00:00.0,"SWL",5.93,"quality-A","WaterNSW"
"GW273314.1.1",2015-05-29 00:00:00.0,"SWL",5.92,"quality-A","WaterNSW"
"GW273314.1.1",2015-05-30 00:00:00.0,"SWL",5.91,"quality-A","WaterNSW"
"GW273314.1.1",2015-05-31 00:00:00.0,"SWL",5.89,"quality-A","WaterNSW"
"GW273314.1.1",2015-06-01 00:00:00.0,"SWL",5.91,"quality-A","WaterNSW"
"GW273314.1.1",2015-06-02 00:00:00.0,"SWL",5.91,"quality-A","WaterNSW"
"GW273314.1.1",2015-06-03 00:00:00.0,"SWL",5.89,"quality-A","WaterNSW"
"GW273314.1.1",2015-06-04 00:00:00.0,"SWL",5.89,"quality-A","WaterNSW"
"GW273314.1.1",2015-06-05 00:00:00.0,"SWL",5.89,"quality-A","WaterNSW"
"GW273314.1.1",2015-06-06 00:00:00.0,"SWL",5.90,"quality-A","WaterNSW"
"GW273314.1.1",2015-06-07 00:00:00.0,"SWL",5.91,"quality-A","WaterNSW"
"GW273314.1.1",2015-06-08 00:00:00.0,"SWL",5.89,"quality-A","WaterNSW"
"GW273314.1.1",2015-06-09 00:00:00.0,"SWL",5.86,"quality-A","WaterNSW"
"GW273314.1.1",2015-06-10 00:00:00.0,"SWL",5.87,"quality-A","WaterNSW"
"GW273314.1.1",2015-06-11 00:00:00.0,"SWL",5.88,"quality-A","WaterNSW"
"GW273314.1.1",2015-06-12 00:00:00.0,"SWL",5.87,"quality-A","WaterNSW"
"GW273314.1.1",2015-06-13 00:00:00.0,"SWL",5.86,"quality-A","WaterNSW"
"GW273314.1.1",2015-06-14 00:00:00.0,"SWL",5.84,"quality-A","WaterNSW"
"GW273314.1.1",2015-06-15 00:00:00.0,"SWL",5.83,"quality-A","WaterNSW"
"GW273314.1.1",2015-06-16 00:00:00.0,"SWL",5.81,"quality-A","WaterNSW"
"GW273314.1.1",2015-06-17 00:00:00.0,"SWL",5.77,"quality-A","WaterNSW"
"GW273314.1.1",2015-06-18 00:00:00.0,"SWL",5.76,"quality-A","WaterNSW"
"GW273314.1.1",2015-06-19 00:00:00.0,"SWL",5.75,"quality-A","WaterNSW"
"GW273314.1.1",2015-06-20 00:00:00.0,"SWL",5.76,"quality-A","WaterNSW"
"GW273314.1.1",2015-06-21 00:00:00.0,"SWL",5.77,"quality-A","WaterNSW"
"GW273314.1.1",2015-06-22 00:00:00.0,"SWL",5.76,"quality-A","WaterNSW"
"GW273314.1.1",2015-06-23 00:00:00.0,"SWL",5.73,"quality-A","WaterNSW"
"GW273314.1.1",2015-06-24 00:00:00.0,"SWL",5.69,"quality-A","WaterNSW"
"GW273314.1.1",2015-06-25 00:00:00.0,"SWL",5.69,"quality-A","WaterNSW"
"GW273314.1.1",2015-06-26 00:00:00.0,"SWL",5.70,"quality-A","WaterNSW"
"GW273314.1.1",2015-06-27 00:00:00.0,"SWL",5.70,"quality-A","WaterNSW"
"GW273314.1.1",2015-06-28 00:00:00.0,"SWL",5.69,"quality-A","WaterNSW"
"GW273314.1.1",2015-06-29 00:00:00.0,"SWL",5.68,"quality-A","WaterNSW"
"GW273314.1.1",2015-06-30 00:00:00.0,"SWL",5.65,"quality-A","WaterNSW"
"GW273314.1.1",2015-07-01 00:00:00.0,"SWL",5.64,"quality-A","WaterNSW"
"GW273314.1.1",2015-07-02 00:00:00.0,"SWL",5.63,"quality-A","WaterNSW"
"GW273314.1.1",2015-07-03 00:00:00.0,"SWL",5.62,"quality-A","WaterNSW"
"GW273314.1.1",2015-07-04 00:00:00.0,"SWL",5.61,"quality-A","WaterNSW"
"GW273314.1.1",2015-07-05 00:00:00.0,"SWL",5.59,"quality-A","WaterNSW"
"GW273314.1.1",2015-07-06 00:00:00.0,"SWL",5.56,"quality-A","WaterNSW"
"GW273314.1.1",2015-07-07 00:00:00.0,"SWL",5.55,"quality-A","WaterNSW"
"GW273314.1.1",2015-07-08 00:00:00.0,"SWL",5.56,"quality-A","WaterNSW"
"GW273314.1.1",2015-07-09 00:00:00.0,"SWL",5.56,"quality-A","WaterNSW"
"GW273314.1.1",2015-07-10 00:00:00.0,"SWL",5.53,"quality-A","WaterNSW"
"GW273314.1.1",2015-07-11 00:00:00.0,"SWL",5.50,"quality-A","WaterNSW"
"GW273314.1.1",2015-07-12 00:00:00.0,"SWL",5.47,"quality-A","WaterNSW"
"GW273314.1.1",2015-07-13 00:00:00.0,"SWL",5.49,"quality-A","WaterNSW"
"GW273314.1.1",2015-07-14 00:00:00.0,"SWL",5.48,"quality-A","WaterNSW"
"GW273314.1.1",2015-07-15 00:00:00.0,"SWL",5.48,"quality-A","WaterNSW"
"GW273314.1.1",2015-07-16 00:00:00.0,"SWL",5.46,"quality-B","WaterNSW"
"GW273314.1.1",2015-07-17 00:00:00.0,"SWL",5.47,"quality-B","WaterNSW"
"GW273314.1.1",2015-07-18 00:00:00.0,"SWL",5.48,"quality-B","WaterNSW"
"GW273314.1.1",2015-07-19 00:00:00.0,"SWL",5.49,"quality-B","WaterNSW"
"GW273314.1.1",2015-07-20 00:00:00.0,"SWL",5.48,"quality-B","WaterNSW"
"GW273314.1.1",2015-07-21 00:00:00.0,"SWL",5.47,"quality-B","WaterNSW"
"GW273314.1.1",2015-07-22 00:00:00.0,"SWL",5.44,"quality-B","WaterNSW"
"GW273314.1.1",2015-07-23 00:00:00.0,"SWL",5.41,"quality-B","WaterNSW"
"GW273314.1.1",2015-07-24 00:00:00.0,"SWL",5.38,"quality-B","WaterNSW"
"GW273314.1.1",2015-07-25 00:00:00.0,"SWL",5.38,"quality-B","WaterNSW"
"GW273314.1.1",2015-07-26 00:00:00.0,"SWL",5.39,"quality-B","WaterNSW"
"GW273314.1.1",2015-07-27 00:00:00.0,"SWL",5.43,"quality-B","WaterNSW"
"GW273314.1.1",2015-07-28 00:00:00.0,"SWL",5.43,"quality-B","WaterNSW"
"GW273314.1.1",2015-07-29 00:00:00.0,"SWL",5.41,"quality-B","WaterNSW"
"GW273314.1.1",2015-07-30 00:00:00.0,"SWL",5.40,"quality-B","WaterNSW"
"GW273314.1.1",2015-07-31 00:00:00.0,"SWL",5.36,"quality-B","WaterNSW"
"GW273314.1.1",2015-08-01 00:00:00.0,"SWL",5.35,"quality-B","WaterNSW"
"GW273314.1.1",2015-08-02 00:00:00.0,"SWL",5.33,"quality-B","WaterNSW"
"GW273314.1.1",2015-08-03 00:00:00.0,"SWL",5.33,"quality-B","WaterNSW"
"GW273314.1.1",2015-08-04 00:00:00.0,"SWL",5.34,"quality-B","WaterNSW"
"GW273314.1.1",2015-08-05 00:00:00.0,"SWL",5.32,"quality-A","WaterNSW"
"GW273314.1.1",2015-08-06 00:00:00.0,"SWL",5.33,"quality-A","WaterNSW"
"GW273314.1.1",2015-08-07 00:00:00.0,"SWL",5.34,"quality-A","WaterNSW"
"GW273314.1.1",2015-08-08 00:00:00.0,"SWL",5.33,"quality-A","WaterNSW"
"GW273314.1.1",2015-08-09 00:00:00.0,"SWL",5.33,"quality-A","WaterNSW"
"GW273314.1.1",2015-08-10 00:00:00.0,"SWL",5.31,"quality-A","WaterNSW"
"GW273314.1.1",2015-08-11 00:00:00.0,"SWL",5.30,"quality-A","WaterNSW"
"GW273314.1.1",2015-08-12 00:00:00.0,"SWL",5.30,"quality-A","WaterNSW"
"GW273314.1.1",2015-08-13 00:00:00.0,"SWL",5.35,"quality-A","WaterNSW"
"GW273314.1.1",2015-08-14 00:00:00.0,"SWL",5.36,"quality-A","WaterNSW"
"GW273314.1.1",2015-08-15 00:00:00.0,"SWL",5.36,"quality-A","WaterNSW"
"GW273314.1.1",2015-08-16 00:00:00.0,"SWL",5.35,"quality-A","WaterNSW"
"GW273314.1.1",2015-08-17 00:00:00.0,"SWL",5.32,"quality-A","WaterNSW"
"GW273314.1.1",2015-08-18 00:00:00.0,"SWL",5.32,"quality-A","WaterNSW"
"GW273314.1.1",2015-08-19 00:00:00.0,"SWL",5.33,"quality-A","WaterNSW"
"GW273314.1.1",2015-08-20 00:00:00.0,"SWL",5.33,"quality-A","WaterNSW"
"GW273314.1.1",2015-08-21 00:00:00.0,"SWL",5.32,"quality-A","WaterNSW"
"GW273314.1.1",2015-08-22 00:00:00.0,"SWL",5.31,"quality-A","WaterNSW"
"GW273314.1.1",2015-08-23 00:00:00.0,"SWL",5.30,"quality-A","WaterNSW"
"GW273314.1.1",2015-08-24 00:00:00.0,"SWL",5.29,"quality-A","WaterNSW"
"GW273314.1.1",2015-08-25 00:00:00.0,"SWL",5.31,"quality-A","WaterNSW"
"GW273314.1.1",2015-08-26 00:00:00.0,"SWL",5.31,"quality-A","WaterNSW"
"GW273314.1.1",2015-08-27 00:00:00.0,"SWL",5.31,"quality-A","WaterNSW"
"GW273314.1.1",2015-08-28 00:00:00.0,"SWL",5.32,"quality-A","WaterNSW"
"GW273314.1.1",2015-08-29 00:00:00.0,"SWL",5.32,"quality-A","WaterNSW"
"GW273314.1.1",2015-08-30 00:00:00.0,"SWL",5.30,"quality-A","WaterNSW"
"GW273314.1.1",2015-08-31 00:00:00.0,"SWL",5.28,"quality-A","WaterNSW"
"GW273314.1.1",2015-09-01 00:00:00.0,"SWL",5.27,"quality-A","WaterNSW"
"GW273314.1.1",2015-09-02 00:00:00.0,"SWL",5.26,"quality-A","WaterNSW"
"GW273314.1.1",2015-09-03 00:00:00.0,"SWL",5.25,"quality-A","WaterNSW"
"GW273314.1.1",2015-09-04 00:00:00.0,"SWL",5.27,"quality-A","WaterNSW"
"GW273314.1.1",2015-09-05 00:00:00.0,"SWL",5.28,"quality-A","WaterNSW"
"GW273314.1.1",2015-09-06 00:00:00.0,"SWL",5.28,"quality-A","WaterNSW"
"GW273314.1.1",2015-09-07 00:00:00.0,"SWL",5.26,"quality-A","WaterNSW"
"GW273314.1.1",2015-09-08 00:00:00.0,"SWL",5.28,"quality-A","WaterNSW"
"GW273314.1.1",2015-09-09 00:00:00.0,"SWL",5.30,"quality-A","WaterNSW"
"GW273314.1.1",2015-09-10 00:00:00.0,"SWL",5.31,"quality-A","WaterNSW"
"GW273314.1.1",2015-09-11 00:00:00.0,"SWL",5.32,"quality-A","WaterNSW"
"GW273314.1.1",2015-09-12 00:00:00.0,"SWL",5.32,"quality-A","WaterNSW"
"GW273314.1.1",2015-09-13 00:00:00.0,"SWL",5.31,"quality-A","WaterNSW"
"GW273314.1.1",2015-09-14 00:00:00.0,"SWL",5.31,"quality-A","WaterNSW"
"GW273314.1.1",2015-09-15 00:00:00.0,"SWL",5.30,"quality-A","WaterNSW"
"GW273314.1.1",2015-09-16 00:00:00.0,"SWL",5.28,"quality-A","WaterNSW"
"GW273314.1.1",2015-09-17 00:00:00.0,"SWL",5.33,"quality-A","WaterNSW"
"GW273314.1.1",2015-09-18 00:00:00.0,"SWL",5.35,"quality-A","WaterNSW"
"GW273314.1.1",2015-09-19 00:00:00.0,"SWL",5.35,"quality-A","WaterNSW"
"GW273314.1.1",2015-09-20 00:00:00.0,"SWL",5.36,"quality-A","WaterNSW"
"GW273314.1.1",2015-09-21 00:00:00.0,"SWL",5.37,"quality-A","WaterNSW"
"GW273314.1.1",2015-09-22 00:00:00.0,"SWL",5.41,"quality-A","WaterNSW"
"GW273314.1.1",2015-09-23 00:00:00.0,"SWL",5.44,"quality-A","WaterNSW"
"GW273314.1.1",2015-09-24 00:00:00.0,"SWL",5.46,"quality-A","WaterNSW"
"GW273314.1.1",2015-09-25 00:00:00.0,"SWL",5.48,"quality-A","WaterNSW"
